country,cases,deaths,region
Timor-Leste,23460,138,Asia
Burkina Faso,22114,400,Africa
Liechtenstein,21574,94,Europe
Gibraltar,20550,113,Europe
Grenada,19693,238,North America
Bermuda,18860,165,North America
South Sudan,18819,147,Africa
Nicaragua,18491,225,North America
Tajikistan,17786,125,Asia
Equatorial Guinea,17229,183,Africa
Monaco,17181,67,Europe
Samoa,17006,31,Australia/Oceania
Tonga,16950,13,Australia/Oceania
Marshall Islands,16138,17,Australia/Oceania
Dominica,16038,74,North America
Djibouti,15690,189,Africa
Central African Republic,15440,113,Africa
Gambia,12626,372,Africa
Saint Martin,12324,63,North America
Vanuatu,12019,14,Australia/Oceania
Greenland,11971,21,North America
Yemen,11945,2159,Asia
Caribbean Netherlands,11682,38,North America
Sint Maarten,11051,92,North America
Eritrea,10189,103,Africa
Niger,9931,312,Africa
St. Vincent & Grenadines,9674,124,North America
Guinea-Bissau,9614,177,Africa
Comoros,9109,161,Africa
Antigua and Barbuda,9106,146,North America
Liberia,8090,295,Africa
Sierra Leone,7779,126,Africa
Chad,7701,194,Africa
British Virgin Islands,7392,64,North America
Cook Islands,7203,2,Australia/Oceania
Sao Tome & Principe,6778,80,Africa
Turks and Caicos,6752,40,North America
Saint Kitts & Nevis,6607,48,North America
Palau,6290,10,Australia/Oceania
Saint Barthelemy,5507,6,North America
Nauru,5393,1,Australia/Oceania
Kiribati,5085,24,Australia/Oceania
Anguilla,3904,12,North America
Wallis & Futuna,3550,8,Australia/Oceania
Saint Pierre & Miquelon,3452,2,North America
Tuvalu,2943,1,Australia/Oceania
Saint Helena,2166,0,Africa
Falkland Islands,1930,0,South America
Montserrat,1403,8,North America
Niue,1059,0,Australia/Oceania
Tokelau,80,0,Australia/Oceania
Holy See,29,0,Europe
Western Sahara,10,1,Africa
MS Zaandam,9,2,
